Date,1211.SR,2010.SR,7010.SR,ETEL.CA,IGIC,KFH.KW,NBK.KW,QAT,SWDY.CA,UAE
2019-04-24,18.233333587646484,123.19999694824219,45.84000015258789,14.100000381469727,10.079999923706055,395.11700439453125,691.7410278320312,19.09000015258789,15.40999984741211,15.600000381469727
2019-04-25,18.333332061767578,123.4000015258789,45.040000915527344,14.100000381469727,10.079999923706055,393.3760070800781,689.5029907226562,19.09000015258789,15.40999984741211,15.59000015258789
2019-04-26,18.333332061767578,123.4000015258789,45.040000915527344,14.100000381469727,10.079999923706055,393.3760070800781,689.5029907226562,19.100000381469727,15.40999984741211,15.612000465393066
2019-04-28,18.53333282470703,124.0,45.20000076293945,14.100000381469727,10.079999923706055,388.15399169921875,683.5330200195312,19.100000381469727,15.40999984741211,15.612000465393066
2019-04-29,18.66666603088379,124.0,45.20000076293945,14.100000381469727,10.079999923706055,384.0929870605469,686.5180053710938,18.950000762939453,15.40999984741211,15.449999809265137
2019-04-30,18.66666603088379,124.19999694824219,45.84000015258789,14.119999885559082,10.029999732971191,385.8340148925781,693.97998046875,18.950000762939453,15.619999885559082,15.458999633789062
2019-05-01,19.0,124.80000305175781,46.15999984741211,14.119999885559082,10.100000381469727,385.8340148925781,691.7410278320312,18.8700008392334,15.619999885559082,15.199999809265137
2019-05-02,19.333332061767578,123.19999694824219,46.79999923706055,14.140000343322754,10.100000381469727,392.21600341796875,699.9500122070312,19.100000381469727,15.579999923706055,15.449999809265137
2019-05-03,19.333332061767578,123.19999694824219,46.79999923706055,14.140000343322754,10.100000381469727,392.21600341796875,699.9500122070312,19.09000015258789,15.579999923706055,15.350000381469727
2019-05-05,19.333332061767578,122.4000015258789,46.15999984741211,13.649999618530273,10.100000381469727,390.4750061035156,702.18798828125,19.09000015258789,15.25,15.350000381469727
2019-05-06,19.66666603088379,120.0,45.20000076293945,13.079999923706055,10.100000381469727,396.2770080566406,704.427001953125,18.81999969482422,14.100000381469727,15.130000114440918
2019-05-07,19.66666603088379,119.5999984741211,44.79999923706055,13.069999694824219,10.130000114440918,398.01800537109375,734.2750244140625,18.46500015258789,14.15999984741211,14.819999694824219
2019-05-08,19.633333206176758,117.4000015258789,45.52000045776367,12.779999732971191,10.130000114440918,402.0790100097656,732.0369873046875,18.283000946044922,13.470000267028809,14.6899995803833
2019-05-09,19.566665649414062,115.80000305175781,43.7599983215332,12.680000305175781,10.149999618530273,396.85699462890625,723.0819702148438,18.09000015258789,14.020000457763672,14.489999771118164
2019-05-10,19.566665649414062,115.80000305175781,43.7599983215332,12.680000305175781,10.119999885559082,396.85699462890625,723.0819702148438,18.09000015258789,14.020000457763672,14.5600004196167
2019-05-12,19.100000381469727,114.80000305175781,42.0,12.880000114440918,10.119999885559082,388.15399169921875,700.6959838867188,18.09000015258789,14.25,14.5600004196167
2019-05-13,18.333332061767578,109.0,39.68000030517578,12.8100004196167,10.119999885559082,379.45098876953125,694.7260131835938,17.200000762939453,13.930000305175781,13.729999542236328
2019-05-14,18.433332443237305,112.0,38.79999923706055,13.0600004196167,10.119999885559082,373.64898681640625,688.7559814453125,17.490999221801758,14.039999961853027,14.109999656677246
2019-05-15,17.966665267944336,111.80000305175781,39.20000076293945,12.960000038146973,10.119999885559082,377.1310119628906,693.97998046875,17.559999465942383,13.539999961853027,13.680000305175781
2019-05-16,17.66666603088379,113.19999694824219,41.20000076293945,12.8100004196167,10.119999885559082,383.51300048828125,717.1119995117188,17.459999084472656,13.819999694824219,13.65999984741211
2019-05-17,17.66666603088379,113.19999694824219,41.20000076293945,12.8100004196167,10.119999885559082,383.51300048828125,717.1119995117188,17.610000610351562,13.819999694824219,13.75
